permit_id,year,file_date,issue_date,permit_subtype,job_description,job_value,total_fees_paid,ward,neighborhood,latitude,longitude
B24021793,2024,2024-08-05,2025-09-23,Commercial,Alteration,1926000,22857.38,7,Downtown,41.5026099082103,-81.6838025785405
B24032429,2024,2024-11-15,2025-10-16,Residential,Alteration,1547,70.5,15,Edgewater,41.482323915403,-81.7579535573713
B24028351,2024,2024-10-07,2025-08-12,Commercial,Alteration,1200,325.1,16,Bellaire-Puritas,41.4247689270428,-81.7813175549474
B24028352,2024,2024-10-07,2025-08-12,Commercial,Alteration,1380,325.1,5,Central,41.5018899071331,-81.6580040865545
B24034827,2024,2024-12-11,2025-08-21,Commercial,Alteration,0,170,10,Collinwood-Nottingham,41.5502378941028,-81.5687286100887
B24020843,2024,2024-07-25,2025-08-19,Residential,Alteration,750,70.5,16,Bellaire-Puritas,41.4315189261779,-81.7892510519457
B24020840,2024,2024-07-25,2025-08-19,Residential,Alteration,250,70.5,9,Glenville,41.5335428997937,-81.6250235941017
B24029555,2024,2024-10-18,2025-07-01,Residential,Alteration,5100,70.5,4,Buckeye-Shaker Square,41.4716319093711,-81.5873091108593
B24028968,2024,2024-10-11,2025-08-04,Commercial,Alteration,181800,2982.5,10,Collinwood-Nottingham,41.5624688914348,-81.5595441119095
B24031162,2024,2024-10-28,2025-07-24,Commercial,Sign,33243,460.84,9,University,41.5040679046783,-81.6140885999178
B24032617,2024,2024-11-18,2025-07-17,Residential,Alteration,25000,166.45,9,Glenville,41.526135901024,-81.6223460955421
B24033661,2024,2024-11-27,2025-06-25,Commercial,Sign,10245,176.56,13,Old Brooklyn,41.4400869205702,-81.7031165777659
B24031663,2024,2024-11-07,2025-06-24,Residential,Fence-Garage-Deck-Pool,38000,90.7,3,Ohio City,41.478201914258,-81.7174670701882
B24035184,2024,2024-12-13,2025-05-29,Commercial,Site Development,605000,7885.3,3,Cuyahoga Valley,41.4925423709634,-81.6897745829602
B24032420,2024,2024-11-12,2025-05-28,Commercial,Alteration,1351791,19649.96,6,University,41.505426904092,-81.6068751020304
B24032423,2024,2024-11-12,2025-05-28,Commercial,Alteration,202310,3306.95,6,University,41.5070700639125,-81.6066388583514
B24028327,2024,2024-10-03,2025-05-27,Commercial,Alteration,61156.14,1149.1,3,Ohio City,41.4874809119962,-81.7054700731161
B24030487,2024,2024-10-28,2025-05-27,Commercial,Alteration,15000,402.35,3,Ohio City,41.4859419124392,-81.7089080721842
B24026908,2024,2024-09-23,2025-05-22,Commercial,Alteration,25000,556.85,5,Kinsman,41.4770589104608,-81.6319130966555
B24002145,2024,2024-01-23,2025-06-10,Commercial,Alteration,1,1425.1,10,Lee-Harvard,41.4412209136358,-81.5591391220549
B24031544,2024,2024-11-07,2025-06-09,Residential,Correct Violation,5000,70.5,15,Cudell,41.4722529171525,-81.7559420588269
B24030960,2024,2024-11-01,2025-05-20,Commercial,Alteration,185000,3028.85,6,University,41.5023719811567,-81.6041545369579
