geoid,tract_name,total_pop,median_hh_income,poverty_count,bachelors_up_count,owner_occupied,nonwhite_count,median_gross_rent
39035101101,Census Tract 1011.01; Cuyahoga County; Ohio,1935,33838,761,348,220,909,866
39035101102,Census Tract 1011.02; Cuyahoga County; Ohio,4032,59053,745,1583,892,995,1046
39035101201,Census Tract 1012.01; Cuyahoga County; Ohio,2570,55315,488,908,427,847,976
39035101300,Census Tract 1013; Cuyahoga County; Ohio,1660,42143,288,328,58,707,825
39035101400,Census Tract 1014; Cuyahoga County; Ohio,2113,41743,600,46,334,1277,967
39035101501,Census Tract 1015.01; Cuyahoga County; Ohio,2090,26438,886,213,201,1185,765
39035101603,Census Tract 1016.03; Cuyahoga County; Ohio,2095,37650,570,211,458,1148,1324
39035101700,Census Tract 1017; Cuyahoga County; Ohio,2820,NA,1334,190,221,2046,1086
39035101800,Census Tract 1018; Cuyahoga County; Ohio,2269,36653,563,455,363,731,896
39035101901,Census Tract 1019.01; Cuyahoga County; Ohio,1360,51389,465,231,227,649,972
39035102101,Census Tract 1021.01; Cuyahoga County; Ohio,3272,35445,1386,288,442,2221,887
39035102102,Census Tract 1021.02; Cuyahoga County; Ohio,3019,53221,591,234,653,1487,966
39035102200,Census Tract 1022; Cuyahoga County; Ohio,3088,50244,848,429,493,1726,988
39035102300,Census Tract 1023; Cuyahoga County; Ohio,1719,31779,505,98,287,1115,865
39035102401,Census Tract 1024.01; Cuyahoga County; Ohio,2138,47723,494,90,402,1351,1117
39035102402,Census Tract 1024.02; Cuyahoga County; Ohio,2548,NA,1123,359,495,1483,1024
39035102700,Census Tract 1027; Cuyahoga County; Ohio,3368,36250,1092,298,584,2105,967
39035102800,Census Tract 1028; Cuyahoga County; Ohio,1797,37989,867,36,131,1250,1000
39035102900,Census Tract 1029; Cuyahoga County; Ohio,2209,31818,971,189,349,1579,1092
39035103300,Census Tract 1033; Cuyahoga County; Ohio,2342,NA,1345,654,95,1376,1141
39035103500,Census Tract 1035; Cuyahoga County; Ohio,1643,75565,123,857,421,345,1158
39035103602,Census Tract 1036.02; Cuyahoga County; Ohio,3784,63198,707,2031,627,907,1481
39035103800,Census Tract 1038; Cuyahoga County; Ohio,1423,48631,459,279,330,643,1051
39035104400,Census Tract 1044; Cuyahoga County; Ohio,1285,63058,337,529,239,581,1289
39035104800,Census Tract 1048; Cuyahoga County; Ohio,1648,50536,202,283,210,621,1134
39035105100,Census Tract 1051; Cuyahoga County; Ohio,3223,33184,1611,51,779,1825,882
39035105300,Census Tract 1053; Cuyahoga County; Ohio,3344,32880,1785,236,557,1509,996
39035105400,Census Tract 1054; Cuyahoga County; Ohio,3024,40138,811,435,655,2009,915
39035105500,Census Tract 1055; Cuyahoga County; Ohio,1948,36066,580,159,176,1232,774
39035105602,Census Tract 1056.02; Cuyahoga County; Ohio,2271,37880,552,117,455,945,927
39035105700,Census Tract 1057; Cuyahoga County; Ohio,4066,35680,925,495,664,2333,734
39035105900,Census Tract 1059; Cuyahoga County; Ohio,2518,71154,262,536,987,498,884
39035106100,Census Tract 1061; Cuyahoga County; Ohio,3910,55720,882,734,1188,1427,1004
39035106200,Census Tract 1062; Cuyahoga County; Ohio,3619,42492,996,455,864,1554,1021
39035106500,Census Tract 1065; Cuyahoga County; Ohio,2715,59076,498,201,684,683,1048
39035106600,Census Tract 1066; Cuyahoga County; Ohio,3380,39722,736,226,708,1548,789
39035106800,Census Tract 1068; Cuyahoga County; Ohio,3004,41392,1063,274,487,1158,871
39035106900,Census Tract 1069; Cuyahoga County; Ohio,3289,50912,696,559,905,953,902
39035107000,Census Tract 1070; Cuyahoga County; Ohio,1518,98833,48,502,723,254,1031
39035107101,Census Tract 1071.01; Cuyahoga County; Ohio,3978,84602,205,1401,195,971,1696
39035107701,Census Tract 1077.01; Cuyahoga County; Ohio,5963,60483,1242,3162,89,2465,1609
39035107802,Census Tract 1078.02; Cuyahoga County; Ohio,4184,15078,2556,1041,41,2999,1098
39035108201,Census Tract 1082.01; Cuyahoga County; Ohio,1287,38466,446,246,64,732,1140
39035108301,Census Tract 1083.01; Cuyahoga County; Ohio,1596,40742,410,353,199,1241,942
39035108400,Census Tract 1084; Cuyahoga County; Ohio,1081,27985,473,42,239,797,1255
39035108701,Census Tract 1087.01; Cuyahoga County; Ohio,4372,21731,2670,356,228,3968,499
39035109301,Census Tract 1093.01; Cuyahoga County; Ohio,1324,11489,905,117,136,1231,257
39035109701,Census Tract 1097.01; Cuyahoga County; Ohio,2549,15291,1401,23,12,2072,739
39035109801,Census Tract 1098.01; Cuyahoga County; Ohio,1922,17698,1424,59,28,1891,267
39035110901,Census Tract 1109.01; Cuyahoga County; Ohio,2692,43808,904,143,626,1546,966
39035111202,Census Tract 1112.02; Cuyahoga County; Ohio,781,49444,98,136,106,597,891
39035111401,Census Tract 1114.01; Cuyahoga County; Ohio,914,15890,444,75,174,914,773
39035111700,Census Tract 1117; Cuyahoga County; Ohio,835,20036,401,86,192,788,1070
39035112100,Census Tract 1121; Cuyahoga County; Ohio,1542,13631,634,68,228,1393,408
39035112200,Census Tract 1122; Cuyahoga County; Ohio,903,27049,460,21,208,903,818
39035112301,Census Tract 1123.01; Cuyahoga County; Ohio,1468,NA,729,48,166,1378,NA
39035114501,Census Tract 1145.01; Cuyahoga County; Ohio,685,32969,268,69,250,657,676
39035114600,Census Tract 1146; Cuyahoga County; Ohio,1032,34380,121,42,141,843,717
39035114800,Census Tract 1148; Cuyahoga County; Ohio,2233,11853,1754,51,19,2212,330
39035115400,Census Tract 1154; Cuyahoga County; Ohio,1964,43152,616,157,248,1158,1011
39035115700,Census Tract 1157; Cuyahoga County; Ohio,1464,37120,449,47,323,1009,846
39035115800,Census Tract 1158; Cuyahoga County; Ohio,2577,44071,439,167,451,1503,918
39035115900,Census Tract 1159; Cuyahoga County; Ohio,4015,55057,531,563,883,2743,987
39035116300,Census Tract 1163; Cuyahoga County; Ohio,1253,26146,593,105,427,1203,716
39035116400,Census Tract 1164; Cuyahoga County; Ohio,2054,26531,797,88,519,1983,785
39035116500,Census Tract 1165; Cuyahoga County; Ohio,2452,30324,701,130,386,2408,1013
39035116600,Census Tract 1166; Cuyahoga County; Ohio,1784,42083,419,169,356,1782,1041
39035116700,Census Tract 1167; Cuyahoga County; Ohio,1553,34670,580,42,228,1548,1026
39035116800,Census Tract 1168; Cuyahoga County; Ohio,1472,37037,427,179,446,1472,923
39035116900,Census Tract 1169; Cuyahoga County; Ohio,1317,35384,239,181,249,1317,1127
39035117101,Census Tract 1171.01; Cuyahoga County; Ohio,2144,41385,481,543,491,1446,871
39035117102,Census Tract 1171.02; Cuyahoga County; Ohio,1136,36955,238,141,188,1101,1144
39035117201,Census Tract 1172.01; Cuyahoga County; Ohio,3077,15734,1678,215,383,2551,470
39035117203,Census Tract 1172.03; Cuyahoga County; Ohio,1556,29390,436,138,222,1333,878
39035117300,Census Tract 1173; Cuyahoga County; Ohio,1850,26953,831,72,312,1744,959
39035117400,Census Tract 1174; Cuyahoga County; Ohio,1293,35000,201,82,292,1141,877
39035117500,Census Tract 1175; Cuyahoga County; Ohio,1996,36581,379,75,252,1840,964
39035117600,Census Tract 1176; Cuyahoga County; Ohio,3501,40236,1130,222,594,2774,1048
39035117700,Census Tract 1177; Cuyahoga County; Ohio,5033,34088,1186,925,1417,2872,838
39035117800,Census Tract 1178; Cuyahoga County; Ohio,1811,32596,500,110,380,1499,1034
39035117900,Census Tract 1179; Cuyahoga County; Ohio,2036,32500,403,247,327,1810,933
39035118101,Census Tract 1181.01; Cuyahoga County; Ohio,1862,42112,483,332,381,1753,909
39035118200,Census Tract 1182; Cuyahoga County; Ohio,1532,43077,506,209,358,1516,1027
39035118301,Census Tract 1183.01; Cuyahoga County; Ohio,2776,44795,436,381,325,2523,1038
39035118602,Census Tract 1186.02; Cuyahoga County; Ohio,1367,7139,729,113,70,1308,399
39035118800,Census Tract 1188; Cuyahoga County; Ohio,2884,30978,822,936,183,1238,1156
39035118900,Census Tract 1189; Cuyahoga County; Ohio,1398,24968,661,352,78,1081,1509
39035119401,Census Tract 1194.01; Cuyahoga County; Ohio,1944,61645,426,878,612,1186,865
39035119402,Census Tract 1194.02; Cuyahoga County; Ohio,1464,25865,640,96,269,1415,962
39035119501,Census Tract 1195.01; Cuyahoga County; Ohio,2643,55878,428,1139,574,1995,1102
39035119502,Census Tract 1195.02; Cuyahoga County; Ohio,1547,29420,484,324,186,1306,539
39035119600,Census Tract 1196; Cuyahoga County; Ohio,1683,34234,252,217,325,1469,NA
39035119701,Census Tract 1197.01; Cuyahoga County; Ohio,1964,30991,530,343,380,1929,782
39035119702,Census Tract 1197.02; Cuyahoga County; Ohio,1523,19303,534,173,250,1410,852
39035119800,Census Tract 1198; Cuyahoga County; Ohio,2699,42500,710,261,789,2695,1355
39035119900,Census Tract 1199; Cuyahoga County; Ohio,1615,28810,893,180,487,1553,805
39035120200,Census Tract 1202; Cuyahoga County; Ohio,1634,32273,434,116,384,1625,681
39035120400,Census Tract 1204; Cuyahoga County; Ohio,1345,23816,773,119,332,1304,632
39035120500,Census Tract 1205; Cuyahoga County; Ohio,1806,41090,324,117,353,1806,886
39035120600,Census Tract 1206; Cuyahoga County; Ohio,1463,40582,204,94,458,1452,943
39035120701,Census Tract 1207.01; Cuyahoga County; Ohio,1445,18594,698,93,370,1435,985
39035120702,Census Tract 1207.02; Cuyahoga County; Ohio,1004,36875,311,68,321,1001,980
39035120801,Census Tract 1208.01; Cuyahoga County; Ohio,1346,21839,807,195,416,1284,1275
39035120802,Census Tract 1208.02; Cuyahoga County; Ohio,2099,15890,1275,97,724,2047,1152
39035121100,Census Tract 1211; Cuyahoga County; Ohio,1617,46136,230,194,359,1616,1146
39035121200,Census Tract 1212; Cuyahoga County; Ohio,1383,26500,586,107,466,1353,870
39035121300,Census Tract 1213; Cuyahoga County; Ohio,1951,25587,857,78,419,1874,632
39035121401,Census Tract 1214.01; Cuyahoga County; Ohio,1212,34390,410,58,320,1194,1147
39035121403,Census Tract 1214.03; Cuyahoga County; Ohio,2536,40111,563,61,618,2457,845
39035121500,Census Tract 1215; Cuyahoga County; Ohio,2186,39167,422,358,554,2138,1072
39035121700,Census Tract 1217; Cuyahoga County; Ohio,4050,57639,1178,553,974,4018,1274
39035121800,Census Tract 1218; Cuyahoga County; Ohio,1426,45648,360,153,574,1426,842
39035121900,Census Tract 1219; Cuyahoga County; Ohio,1010,51131,160,169,398,1010,1087
39035122100,Census Tract 1221; Cuyahoga County; Ohio,3143,42550,855,422,882,3061,820
39035122200,Census Tract 1222; Cuyahoga County; Ohio,1656,50490,550,227,523,1611,1049
39035122300,Census Tract 1223; Cuyahoga County; Ohio,1769,25359,622,237,414,1769,931
39035123100,Census Tract 1231; Cuyahoga County; Ohio,2574,100455,224,994,890,403,1146
39035123200,Census Tract 1232; Cuyahoga County; Ohio,2718,80208,374,890,1193,207,1693
39035123400,Census Tract 1234; Cuyahoga County; Ohio,3673,91979,248,1705,1171,407,780
39035123501,Census Tract 1235.01; Cuyahoga County; Ohio,3655,47717,759,225,659,1502,1054
39035123502,Census Tract 1235.02; Cuyahoga County; Ohio,2816,43542,444,447,497,1110,856
39035123601,Census Tract 1236.01; Cuyahoga County; Ohio,3249,103700,180,1007,1139,661,1281
39035123602,Census Tract 1236.02; Cuyahoga County; Ohio,3286,48100,1101,689,782,1299,782
39035123603,Census Tract 1236.03; Cuyahoga County; Ohio,2624,55357,244,716,861,448,744
39035123700,Census Tract 1237; Cuyahoga County; Ohio,2535,70588,286,501,778,697,1093
39035123800,Census Tract 1238; Cuyahoga County; Ohio,2418,25361,1426,198,312,1703,474
39035123900,Census Tract 1239; Cuyahoga County; Ohio,3703,82120,627,452,945,1173,950
39035124100,Census Tract 1241; Cuyahoga County; Ohio,5210,57056,1327,433,1300,2563,1114
