site_id,local_site_name,address,latitude,longitude,date,parameter,units,sample_measurement,aqi
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-02-29,Ozone,Parts per million,0.021,20.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-01,Ozone,Parts per million,0.037353,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-02,Ozone,Parts per million,0.022824,28.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-03,Ozone,Parts per million,0.027235,30.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-04,Ozone,Parts per million,0.022353,26.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-05,Ozone,Parts per million,0.024294,29.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-06,Ozone,Parts per million,0.03,32.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-07,Ozone,Parts per million,0.027235,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-08,Ozone,Parts per million,0.038235,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-09,Ozone,Parts per million,0.042,42.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-10,Ozone,Parts per million,0.012941,24.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-11,Ozone,Parts per million,0.010647,16.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-12,Ozone,Parts per million,0.028471,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-13,Ozone,Parts per million,0.036941,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-14,Ozone,Parts per million,0.028941,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-15,Ozone,Parts per million,0.032588,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-16,Ozone,Parts per million,0.020941,26.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-17,Ozone,Parts per million,0.017765,23.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-18,Ozone,Parts per million,0.015235,20.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-19,Ozone,Parts per million,0.018529,21.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-20,Ozone,Parts per million,0.029647,30.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-21,Ozone,Parts per million,0.021647,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-22,Ozone,Parts per million,0.030176,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-23,Ozone,Parts per million,0.026941,28.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-24,Ozone,Parts per million,0.027471,32.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-25,Ozone,Parts per million,0.025706,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-26,Ozone,Parts per million,0.033353,41.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-03-27,Ozone,Parts per million,0.022765,28.0
