date,year,month,month_name,labor_force,employment,unemployment,unemployment_rate,data_flag
2010-01-01,2010,1,Jan,634138,578498,55640,8.8,final
2010-02-01,2010,2,Feb,634079,575140,58939,9.3,final
2010-03-01,2010,3,Mar,637303,581688,55615,8.7,final
2010-04-01,2010,4,Apr,642818,590258,52560,8.2,final
2010-05-01,2010,5,May,638585,585926,52659,8.2,final
2010-06-01,2010,6,Jun,653311,597702,55609,8.5,final
2010-07-01,2010,7,Jul,660466,604694,55772,8.4,final
2010-08-01,2010,8,Aug,650739,598963,51776,8,final
2010-09-01,2010,9,Sep,642053,592999,49054,7.6,final
2010-10-01,2010,10,Oct,638864,592397,46467,7.3,final
2010-11-01,2010,11,Nov,638295,591500,46795,7.3,final
2010-12-01,2010,12,Dec,628270,582680,45590,7.3,final
2011-01-01,2011,1,Jan,624307,574079,50228,8,final
2011-02-01,2011,2,Feb,629789,577730,52059,8.3,final
2011-03-01,2011,3,Mar,624486,576541,47945,7.7,final
2011-04-01,2011,4,Apr,637132,591810,45322,7.1,final
2011-05-01,2011,5,May,634224,587443,46781,7.4,final
2011-06-01,2011,6,Jun,643471,591439,52032,8.1,final
2011-07-01,2011,7,Jul,652028,600744,51284,7.9,final
2011-08-01,2011,8,Aug,645051,597904,47147,7.3,final
2011-09-01,2011,9,Sep,634155,589358,44797,7.1,final
2011-10-01,2011,10,Oct,635764,593852,41912,6.6,final
2011-11-01,2011,11,Nov,634296,593941,40355,6.4,final
2011-12-01,2011,12,Dec,624040,583382,40658,6.5,final
2012-01-01,2012,1,Jan,616710,572159,44551,7.2,final
2012-02-01,2012,2,Feb,619991,572014,47977,7.7,final
2012-03-01,2012,3,Mar,623894,579802,44092,7.1,final
2012-04-01,2012,4,Apr,624443,583873,40570,6.5,final
2012-05-01,2012,5,May,627212,584971,42241,6.7,final
2012-06-01,2012,6,Jun,636811,590018,46793,7.3,final
2012-07-01,2012,7,Jul,639009,592795,46214,7.2,final
2012-08-01,2012,8,Aug,628336,586962,41374,6.6,final
2012-09-01,2012,9,Sep,627799,589073,38726,6.2,final
2012-10-01,2012,10,Oct,624757,588430,36327,5.8,final
2012-11-01,2012,11,Nov,617933,581604,36329,5.9,final
2012-12-01,2012,12,Dec,613289,575677,37612,6.1,final
2013-01-01,2013,1,Jan,614755,569836,44919,7.3,final
2013-02-01,2013,2,Feb,612241,565555,46686,7.6,final
2013-03-01,2013,3,Mar,610746,568463,42283,6.9,final
2013-04-01,2013,4,Apr,618948,579351,39597,6.4,final
2013-05-01,2013,5,May,624040,581576,42464,6.8,final
2013-06-01,2013,6,Jun,632623,584760,47863,7.6,final
2013-07-01,2013,7,Jul,643543,597044,46499,7.2,final
2013-08-01,2013,8,Aug,630517,588075,42442,6.7,final
2013-09-01,2013,9,Sep,626048,584691,41357,6.6,final
2013-10-01,2013,10,Oct,619071,579125,39946,6.5,final
2013-11-01,2013,11,Nov,619555,580085,39470,6.4,final
2013-12-01,2013,12,Dec,610766,571569,39197,6.4,final
2014-01-01,2014,1,Jan,608928,565505,43423,7.1,final
2014-02-01,2014,2,Feb,618861,572309,46552,7.5,final
2014-03-01,2014,3,Mar,613528,570364,43164,7,final
2014-04-01,2014,4,Apr,621166,583476,37690,6.1,final
2014-05-01,2014,5,May,620610,580254,40356,6.5,final
2014-06-01,2014,6,Jun,633240,590033,43207,6.8,final
2014-07-01,2014,7,Jul,642854,599774,43080,6.7,final
2014-08-01,2014,8,Aug,634192,596013,38179,6,final
2014-09-01,2014,9,Sep,618105,583423,34682,5.6,final
2014-10-01,2014,10,Oct,616024,584380,31644,5.1,final
2014-11-01,2014,11,Nov,620396,588568,31828,5.1,final
2014-12-01,2014,12,Dec,607819,575868,31951,5.3,final
2015-01-01,2015,1,Jan,610610,573540,37070,6.1,final
2015-02-01,2015,2,Feb,613839,574674,39165,6.4,final
2015-03-01,2015,3,Mar,609055,573615,35440,5.8,final
2015-04-01,2015,4,Apr,621866,589191,32675,5.3,final
2015-05-01,2015,5,May,618625,583041,35584,5.8,final
2015-06-01,2015,6,Jun,624705,588340,36365,5.8,final
2015-07-01,2015,7,Jul,635079,600555,34524,5.4,final
2015-08-01,2015,8,Aug,622981,593947,29034,4.7,final
2015-09-01,2015,9,Sep,610711,583192,27519,4.5,final
2015-10-01,2015,10,Oct,611289,586141,25148,4.1,final
2015-11-01,2015,11,Nov,611707,586838,24869,4.1,final
2015-12-01,2015,12,Dec,601301,574716,26585,4.4,final
2016-01-01,2016,1,Jan,617398,585428,31970,5.2,revised
2016-02-01,2016,2,Feb,625119,589029,36090,5.8,revised
2016-03-01,2016,3,Mar,622362,587197,35165,5.7,revised
2016-04-01,2016,4,Apr,633335,600499,32836,5.2,revised
2016-05-01,2016,5,May,629724,596528,33196,5.3,revised
2016-06-01,2016,6,Jun,642719,605598,37121,5.8,revised
2016-07-01,2016,7,Jul,651945,614740,37205,5.7,revised
2016-08-01,2016,8,Aug,638017,603066,34951,5.5,revised
2016-09-01,2016,9,Sep,637400,603008,34392,5.4,revised
2016-10-01,2016,10,Oct,634289,601030,33259,5.2,revised
2016-11-01,2016,11,Nov,634732,602677,32055,5.1,revised
2016-12-01,2016,12,Dec,625535,590414,35121,5.6,revised
2017-01-01,2017,1,Jan,625075,584429,40646,6.5,revised
2017-02-01,2017,2,Feb,626662,582442,44220,7.1,revised
2017-03-01,2017,3,Mar,628013,589118,38895,6.2,revised
2017-04-01,2017,4,Apr,636278,600970,35308,5.5,revised
2017-05-01,2017,5,May,640864,604343,36521,5.7,revised
2017-06-01,2017,6,Jun,653545,613664,39881,6.1,revised
2017-07-01,2017,7,Jul,655261,616286,38975,5.9,revised
2017-08-01,2017,8,Aug,645353,609214,36139,5.6,revised
2017-09-01,2017,9,Sep,640268,608305,31963,5,revised
2017-10-01,2017,10,Oct,635628,606704,28924,4.6,revised
2017-11-01,2017,11,Nov,635705,607627,28078,4.4,revised
2017-12-01,2017,12,Dec,624183,595510,28673,4.6,revised
2018-01-01,2018,1,Jan,623475,591255,32220,5.2,revised
2018-02-01,2018,2,Feb,629735,594213,35522,5.6,revised
2018-03-01,2018,3,Mar,627319,594894,32425,5.2,revised
2018-04-01,2018,4,Apr,639199,608811,30388,4.8,revised
2018-05-01,2018,5,May,635358,604588,30770,4.8,revised
2018-06-01,2018,6,Jun,652199,616025,36174,5.5,revised
2018-07-01,2018,7,Jul,657829,624855,32974,5,revised
2018-08-01,2018,8,Aug,646224,616748,29476,4.6,revised
2018-09-01,2018,9,Sep,637561,611038,26523,4.2,revised
2018-10-01,2018,10,Oct,640690,615362,25328,4,revised
2018-11-01,2018,11,Nov,636740,612375,24365,3.8,revised
2018-12-01,2018,12,Dec,630277,604416,25861,4.1,revised
2019-01-01,2019,1,Jan,629270,599156,30114,4.8,revised
2019-02-01,2019,2,Feb,633358,602447,30911,4.9,revised
2019-03-01,2019,3,Mar,631774,603146,28628,4.5,revised
2019-04-01,2019,4,Apr,635973,611150,24823,3.9,revised
2019-05-01,2019,5,May,640655,614762,25893,4,revised
2019-06-01,2019,6,Jun,650623,620507,30116,4.6,revised
2019-07-01,2019,7,Jul,660914,630390,30524,4.6,revised
2019-08-01,2019,8,Aug,652492,626474,26018,4,revised
2019-09-01,2019,9,Sep,643827,619746,24081,3.7,revised
2019-10-01,2019,10,Oct,646957,625183,21774,3.4,revised
2019-11-01,2019,11,Nov,647546,625249,22297,3.4,revised
2019-12-01,2019,12,Dec,641905,618266,23639,3.7,revised
2020-01-01,2020,1,Jan,641716,612258,29458,4.6,revised
2020-02-01,2020,2,Feb,646342,614751,31591,4.9,revised
